position,company,description,reviews,location
Marketing / User Experience Research Analyst,Axon,"Our mission is to protect life.
Weâ€™re out to make the world a safer place by solving big problems and taking on the public safety challenges of our time. In the next 10 years, weâ€™ll triple the amount of time officers can spend serving their communities. In the next 20, weâ€™ll eliminate paperwork in policing so that officers can focus on what matters. And in the next 50 years, weâ€™ll make the bullet obsolete.
Itâ€™s a big mission, but itâ€™s one weâ€™ll pursue relentlessly every single day.

Your Impact:
In this role, you will provide primary research methodology, survey/discussion guide design, and analytical consulting and execution supporting Axon product and marketing groups. The successful analyst will work directly with product/marketing teams to develop and execute comprehensive â€œVoice of the Customerâ€ (VOC) plans that support strategic and tactical direction throughout the lifecycle. This analyst will leverage qualitative, quantitative and instrumentation data, to drive key insights aimed at growing competitiveness in the marketplace.

At Axon, our goal is to make each individual feel valued for his or her contributions to the companyâ€™s mission. We want intelligent people who are passionate to do remarkable things, and we strive to create an environment where people can succeed and enjoy coming to work every day.
Your Day to Day
You understand the product lifecycle, and relevant business objectives throughout, and in turn will recommend and design appropriate research methodology, develop questionnaires and discussion guidelines, and build and implement sampling as well as analysis plans to address those objectives
You will design methodologies and instruments to collect data on customers, competitors and markets, and leverage advanced analytical approaches (key driver analysis, perceptual maps, conjoint analysis, etc) to provide meaningful insights that drive actionable results.
You will analyze data using statistical software, converting complex data and findings into understandable tables, graphs, and written reports
You will continually look to improve the quality, visibility and meaningfulness of â€œVOCâ€ within the organization
You will create easily digestible, insightful reports and present findings and implications to product, marketing and executive teams.
You evaluate program methodology, sample plans, and data to ensure that data is accurate
You will work with advanced research software to create, distribute, analyze and centralize research and results
You will triangulate results across multiple sources to provide holistic, and comprehensive research insights
You remain fully informed on research innovations and implement standard methodologies
Skills Preferred
Experience using online survey implementation tools such as Qualtrics, Vision Critical, Satmetrix or similar.
Experience with software, law enforcement and/or hardware experience
Skills Required
Bachelor of Science degree (preferably in Statistics, Marketing Research, Marketing or related discipline)
Minimum 4 years experience in validated market research analysis experience
Strong understanding of software design, instrumentation data and usability testing
Sound understanding of statistical concepts, research and collection methods, survey design, and experimental design
Experience with qualitative moderating and discussion guide development
Ability to interpret and clearly articulate large amounts of data
Strong communication and presentation skills
Strong Analytical, Critical Thinking, and Multitasking Skills
Familiarity with CRM, NPS, and CSAT programs
You have working knowledge of the Microsoft Office Suite: Excel, Powerpoint, Word, Outlook, etc.
Willing to Travel 25-30%
Compensation and Benefits
An awesome office/working environment with the latest technology
Competitive salary and a comprehensive benefit package
Fun team activities and outings
Flexible working hours
Options for training in the US
Opportunities to ride along with local law enforcement
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",43,"Seattle, WA 98103"
Sr. Business Analyst,Amazon.com,"Job Description
Weâ€™re working on the future and itâ€™s still Day 1. Come join us and make history!

At Alexa Voice Shopping, we strive to enhance shopping in everyday life. We build technology that allows customers to instantly order whatever they need, by simply interacting with their Smart Devices such as Echo or Fire TV. Our Services allow you to shop, no matter where you are or what you are doing; you can go from 'I want that' to 'that's on the way' in a matter of seconds. We are seeking outstanding Business Intelligence Engineers to model customer preference and help define the innovation roadmap for Alexa Voice Shopping.

The Business Intelligence Engineer will be a key member of the Org, which includes economists, ML scientists, fellow business intelligence and data engineers. This role requires an individual with excellent statistical and analytical abilities, data engineering skills and importantly an uncanny knack and passion for turning qualitative analysis and observations into diagnostics and metrics. The successful candidate will be a self-starter and someone who thrives in a fast-paced and ever-changing environment, driven by a desire to innovate and move fast.

Responsibilities
You know and love working with business intelligence tools, can model multidimensional datasets, and can partner with customers to answer key business questions. You are analytical and creative, and you donâ€™t quit. You will also have the opportunity to display your skills in the following areas:

1. Be a thought leader: Interface with business partners, architect, design, implement, and support BI projects &amp; tools that derive customer shopping insights and shape business decisions
2. Dive Deep, Raise the bar and insist on high standards: Recognize and adopt best practices in analysis and reporting, data integrity, test design, analysis, validation, and documentation
3. Deliver Results: Be inspired by the motto of Customer First, use outstanding business acumen, technical and analytical skills to drive real, actionable results.
Basic Qualifications

5+ years of relevant experience in business intelligence role, including data warehousing and business intelligence tools, techniques and technology, as well as experience in diving deep on data analysis or technical issues to come up with effective solutions, experience in analytics, business analysis or comparable consumer analytics solutions
Excellent knowledge and Expertise with SQL, Linux, OLAP, and Relational, NoSQL &amp; Multi-dimensional Databases, Big Data
Excellent Knowledge of data warehousing concepts; coding proficiency in at least one modern programming language (Python, Ruby, Java, etc)
Experience in data mining, ETL, etc. and using databases in a business environment with large-scale, complex datasets
Knowledge and direct experience using business intelligence reporting tools like QuickSight, Tableau
Proven ability at looking at solutions in unconventional ways. Sees opportunities to innovate and can lead the way
Bachelorâ€™s degree in Computer Science, Engineering, Math, Finance, Statistics or related discipline
Preferred Qualifications

Explicit industry experience with spoken language understanding systems
Master's degree or PhD or higher in an analytical area such as Computer Science, Physics, Mathematics, Statistics, Engineering or similar
Knowledge of AWS Infrastructure including S3, Redshift, DynamoDB and RDS",25902,"Seattle, WA"
Market Research Analyst,Penn Schoen Berland,"We are seeking qualified Analysts to join our team in Seattle. Analysts work as part of a dynamic communications consulting/market research team conducting custom primary research projects. This team primarily works within the technology sector where PSB is the leading research provider to Microsoft, and a strategic research provider to Intel, Amazon and more.
In particular, the Analyst will be responsible for:
Developing a deep understanding of specific client issues.
Handling the details of implementing and managing all phases of market research and strategic communications projects:
Assist in the development of research proposals, survey questionnaires and final reports in both MS Word and PowerPoint
Conduct analysis of research studies and create coherent presentations to help drive strategy and planning

This position requires strategic thinking, independent project management and a strong desire for leadership responsibility. In particular, candidates must have an interest in translating numbers into actionable recommendations for clients. Additionally, candidates should display solid communication and presentation skills, attention to detail, commitment to quality, superior analytical capabilities and demonstrated initiative.
Qualifications

Our ideal candidate has a Bachelorâ€™s degree and internship or summer work experience in public relations, market research, political campaigns or a related position in the communications industry. Other attributes of the successful candidate include:

Hard-working, detail oriented, creative, and comfortable working with numbers
Proven leadership, communication, and writing skills
Proficiency in Microsoft Excel, PowerPoint and Word
Experience with statistical software (specifically SPSS) is preferable but not required",2,"Seattle, WA"
Morphometry and Image Analyst,Fred Hutchinson Cancer Research Center,"Overview
Cures Start Here. At Fred Hutchinson Cancer Research Center, home to three Nobel laureates, interdisciplinary teams of world-renowned scientists seek new and innovative ways to prevent, diagnose and treat cancer, HIV/AIDS and other life-threatening diseases. Fred Hutchâ€™s pioneering work in bone marrow transplantation led to the development of immunotherapy, which harnesses the power of the immune system to treat cancer. An independent, nonprofit research institute based in Seattle, Fred Hutch houses the nationâ€™s first cancer prevention research program, as well as the clinical coordinating center of the Womenâ€™s Health Initiative and the international headquarters of the HIV Vaccine Trials Network. Careers Start Here.
Responsibilities
The quantitative analysis of cell and tissue shape â€“ morphometrics â€“ is pivotal for our understanding of human disease and our quest for cures. In recent years, Fred Hutch researchers have generated accelerating terabyte and pentabyte quantities of 3D and 4D imaging data. This has created a need for expertise in image analysis â€“ encompassing modeling, statistical inference, and toolkit development. Accordingly, we are seeking a highly motivated individual with experience in morphometrics and image analysis to support research at the Fred Hutchinson Cancer Research Center (Fred Hutch).

The Morphometry and Image Analyst will collaborate with individual researchers from the Division of Basic Sciences and other Fred Hutch scientific divisions to develop multi-pronged integrative approaches to quantitatively understanding patterns in biological images, including ultra-resolution, 3D and 4D microscopy images. The analyst will interface with staff from a number of Fred Hutch Shared Resources (cores), specifically Scientific Imaging, Bioinformatics, and Scientific Computing, and will report to the Director of the Genomics and Bioinformatics Shared Resource.

Position summary:
This is a multi-faceted job that involves the following components:
The principal role will be to collaborate with researchers to identify and define quantitative image analysis and visualization needs and develop solutions for biomedical projects. Assist in the research design of imaging experiments. Create software prototypes and image processing pipelines for varied applications, potentially including high-content image analysis screens, quantification of cell morphometric phenotypes and dynamics, and identify and track nuclear, cell, and/or tissue features in 3D images over time.
Aid researchers in developing biophysical or mechanical models and perform simulations to test fit to experimental data.
Provide software support, including maintenance, documentation and training, for a collection of image analysis and visualization software such as CellProfiler, ImageJ, Metamorph, Imaris, and Halo.
Collect, curate, archive, and manage quantitative imaging data and help in the preparation of results and methods for publications &amp; presentations. Co-authorship on papers may be appropriate, depending on the level of involvement.
Increase image analysis expertise in the community by organizing educational events and workshops including hands-on training sessions to discuss biological and biomedical imaging problems and computational solution strategies.
Qualifications
The ideal candidate will have extensive experience in developing and utilizing computational approaches for quantitative image analysis and morphometry. Typically, the candidate will have developed these skills through research for an advanced degree in a biophysical, biomedical or bioengineering discipline and have at least 3 years of hands-on experience. He/she will have a fundamental understanding of microscopic techniques, statistics and mathematical modeling. Strong programing skills in MatLab, Python and/or R are essential. Experience with one or more common image analysis software packages is desirable. Additional critical skills include the ability to manage multiple ongoing projects, communicate efficiently and effectively with scientists and technical staff, maintain detailed documentation, and function independently in a dynamic research setting.
Our Commitment to Diversity
We are committed to cultivating a workplace in which diverse perspectives and experiences are welcomed and respected. We are proud to be an Equal Opportunity and VEVRAA Employer. We do not discriminate on the basis of race, color, religion, creed, ancestry, national origin, sex, age, disability, marital or veteran status, sexual orientation, gender identity, political ideology, or membership in any other legally protected class. We are an Affirmative Action employer. We encourage individuals with diverse backgrounds to apply and desire priority referrals of protected veterans. If due to a disability you need assistance/and or a reasonable accommodation during the application or recruiting process, please send a request to our Employee Services Center at escmail@fredhutch.org or by calling 206-667-4700.",91,"Seattle, WA 98109"
Business Intelligence Analyst III,CDK Global,"Job #44008
Accelerate Your Career
Drive global technology

With more than $2 billion in revenues, CDK Global is a leading global provider of integrated information technology and digital marketing solutions to the automotive retail and adjacent industries. Focused on enabling end-to-end automotive commerce, CDK provides solutions to dealers in more than 100 countries around the world, serving approximately 28,000 retail locations and most automotive manufacturers. CDK Global solutions automate and integrate critical processes from pre-sale targeted advertising to the sale, financing, insurance, parts supply, repair and maintenance of vehicles, with an increasing focus on utilizing data analytics and predictive intelligence.

Weâ€™re large enough to make a difference but small enough for your voice to be heard. This means that we are an organization where every person matters. You can make an impact on the success of our business and that of our customers regardless of what career you decide to pursue.

From data scientists to sales and client service experts, weâ€™re hiring to support your growth and ours - Green light your career.
PRINCIPLE DUTIES AND RESPONSIBILITIES
CDK Digital Marketing is seeking a BI Data Analyst III who will help guide stakeholders through the process of designing data solutions for clients, while having the technical skills to build and implement those solutions through our Enterprise Data Warehouse.

The successful candidate will be able to think strategically about business issues and will have a strong command of data warehousing platforms, reporting automation, data visualization, digital marketing analytics and basic statistics. In addition to these technical skills, we are looking for someone who is comfortable working directly with stakeholders to understand their concerns, use data to address them, and present the results to a non-technical audience in a clear and concise manner. Candidates with a history of owning data driven projects and overcoming obstacles are desired. The BI Data Analyst III will be able to take direction, but will also pro-actively drive projects to completion.

A comfortable relationship with various flavors of SQL and experience with a fact/dimension based Data Warehouse is essential. Knowledge of â€œBigâ€ data platforms such as Hadoop, and any experience automating data workflows is a plus. Extracted data will be manipulated, merged, and analyzed to produce reports, graphs, dashboards and other output to ultimately reveal performance of our products for internal and external users. A history of delivering â€œactionable insightsâ€ to stakeholders is desired; CDK is looking for Analysts who want to go beyond reporting.

CDKâ€™s Agency Insights Team wants people who are curious about data. The ideal candidate is not intimidated by large and complex data sets and is naturally inclined to view things from an analytical perspective. Industry experience and knowledge of current data visualization and warehousing trends is encouraged. The successful candidate will work closely with OEM Consultants, BI Engineers and other Data Analysts.

KNOWLEDGE, SKILLS AND ABILITIES
Experience with Google Analytics is a must
BA/BS in a business or technical field; an Advanced Degree is a plus
Must have experience with SQL &amp; Tableau (3+ years)
Experience with Data Warehousing platforms (Oracle, SQL Server, Etc...)
Experience with websites and digital media analytics
Strong MS Excel and Database skills
Experience with digital marketing concepts, cookies (1st &amp; 3rd party), pixel tags, privacy standards, SEO, social media, advertising attribution methods &amp; models
3+ yearsâ€™ experience in a Data Analyst role
Demonstrated ability to communicate technical topics to non-technical audiences
Experience with Hadoop, Spark, Hive, Pig, MongoDB or other big data technologies a plus
Background in web analytics, online advertising, or ad agency experience a plus
Automotive vertical experience a plus

ESSENTIAL FUNCTIONS
Communicate with business consultants, agency partners and enterprise sales to gather and understand requirements
Visualization of data using tools such as Tableau, Excel, R, etc...
Ability to manage a backlog, establish priorities, multi-task and work proactively and independently
Data mining from data warehouse, using SQL, RegEx, json, pixel logs, and other big data formats
Analyze web analytics and other quantitative and qualitative data
Data discovery and data cleansing

CDK Global knows you have passions outside of work. You have family, friends, sporting events, and lots of things going on. Thatâ€™s why we offer a comprehensive benefits package to not only take care of you but your family as well. All of our benefits are effective the first day of employment including 401K matching, paid time off to re-energize, donate your time to volunteer in your community, and tuition reimbursement to name a few.
At CDK, we pride ourselves on having a diverse workforce. We value and celebrate the uniqueness of individuals and the different perspectives they provide. We offer equal opportunity employment regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, or protected veteran status.",230,"Seattle, WA 98101"
Senior Data Analyst - User Engagement,Redfin,"Redfin is redefining real estate in the consumerâ€™s favor by combining our own technology and agents to create a service thatâ€™s better, faster, and costs less. As a Redfinnian, you'll make a difference in one of lifeâ€™s most important eventsâ€”buying or selling a home. Our hiring standards are high, our culture is humble. If youâ€™re a brilliant analyst with fire in your belly to do work that matters, we want to hear from you.

As a Senior Analyst, focused on user engagement, youâ€™ll use some of the most robust real estate data in the world to answer questions and build tools that drive key business decisions across the entire company. How should we define the stages of engagement with our technology? How can we improve our product to keep potential homebuyers and sellers coming back? How can our technology better tailor itself to the needs of each person using it? We need a Senior Analyst to help us turn the mysteries of user engagement into clear and undeniable recommendations for action.

The Role
Partner with Engineering, Product Management, and Data Scientists to analyze the health of our technology and prioritize potential projects
Build beautiful, powerful reports in Tableau and / or RStudio that make it easy to dig into the state of our technology
Craft and deliver presentations on the state of user engagement, or on the results of recent analysis, to Product and Engineering teams and to C-level executive team
Help create strategic A/B tests and analyze often-complex results

Desired Skills &amp; Experience
Bachelorâ€™s degree in statistics, computer science, or a related field
Expert-level SQL, Tableau, and Excel skills
Ability to build models and design experiments that produce actionable results fast
Brilliant communication skills, ability to explain complex ideas clearly to a nontechnical audience
An analytical juggernaut who doesnâ€™t stop at the â€œWhat?â€ but hungers for the â€œWhy?â€ and â€œWhat if?â€
Expertise with R or Python a plus

What We Offer
Competitive compensation packages with a salary, bonuses, and stock grants
Generous benefits, including three weeks of paid vacation, medical, dental, and vision insurance, and fully paid family leave
Strong startup culture with catered lunches, casual dress code, happy hours, and more

To make sure we hire the most qualified people, weâ€™ve designed a multi-step selection process which may include interviews, a homework assignment, and a reference check. Weâ€™re excited to get to know you and hope youâ€™re ready to give this opportunity everything youâ€™ve got!

Redfin is an equal opportunity employer committed to hiring a diverse workforce.",44,"Seattle, WA"
Market Research Analyst (Advertising),Love and Company,"Position Overview The Market Research Analyst is responsible for implementing Love &amp; Companyâ€™s market intelligence services, including consumer research, market studies, competitive analyses and pricing studies. While general knowledge and experience with a variety of research methods will be important, the market research analystâ€™s primary asset will be their ability to analyze data in a way that uncovers the â€œstoriesâ€ hidden within the numbers.Responsibilities Market Research * Conduct all aspects of market studies that are based primarily in secondary data, which includesdemographic and competitive data collection and analysis, demand assessments, developingrecommendations, and preparing reports for clientsRequest, gather and review background information from clientsParticipate in identifying local competition and collecting, organizing, analyzing and reporting dataCreate graphic presentations of demographic and competitive dataConduct site visits to assess project sites and/or visit and evaluate competitive facilities and collect dataRun mapping software for identifying and communicating study areas, showing distribution of competition, and showing demographic data such as housing values by areaAnalyze and integrate the data collected (demographic, competitive and site-specific information)Write study reportsParticipate in presentations of reports and data to clients* Conduct competitive pricing analyses* Assist with other types of consumer research as needed* Support the firmâ€™s annual proprietary research project through on-line research as neededCompetitive Pricing Analyses (in conjunction with other staff members) Gather competitive pricing informationCompile all internal and competitive data analysis worksheetsComplete onsite evaluations/scoring of competitor communities, and/or coordinate with other Love &amp; Company team members to complete the onsite evaluationsDevelop pricing and contract modification models, to implement pricing recommendationsReview and project the actuarial performance of recommended pricing modifications, revising recommendations as appropriate to meet actuarial objectivesSupport Consumer Research Studies (Primary Data) Plan target audiences and distribution strategies for mail, phone and online surveysManage the recruitment of â€œfocus groupâ€ attendees (Consumer Research and Consumer Preview Events (CREs and CPEs))Develop materials needed to support the research effort, such as surveys, moderatorsâ€™ guides and presentations for community research eventsSupport the CPE/CRE processConduct Consumer Research EventsAnalyze the dataPrepare and present outcomes and report dataProvide other competitive and market analysis support as needed General Research Support Assist as needed with the research in senior living trends to support the companyâ€™s overall leadership position in the fieldQualifications Minimum of three years of market research and data analysis experience. Experience in â€œsenior livingâ€ preferred.Excellent writing skills; command of language, grammar and spelling; dedication to error-free work and communicationsExcellent organizational and communication skillsBasic knowledge of Macintosh computers, especially with MicrosoftOffice and database managementAbility to travel overnight when necessaryBachelorâ€™s degree preferredPlease include a detailed cover letter with salary requirements. Resumes without a cover letter will not be considered.Love &amp; Company is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.Job Type: Full-time",NA,"Seattle, WA"
Research & Transaction Analyst,BGC Partners,"Newmark Knight Frank (NKF) is one of the world's leading commercial real estate advisory firms. We provide a fully integrated platform of services to prominent multinational corporations and institutional investors across the globe, as well as to occupiers, owners and developers of real estate on a local, regional and national level.

Together with London-based partner Knight Frank and independently-owned offices, NKF's 14,100 professionals operate from more than 400 offices in established and emerging property markets on six continents.

About the Sleeth Retail Investment Group:

The Sleeth Retail Investment Group is a distinctive team of highly skilled real estate professionals who combine our in-depth knowledge of the local retail investment market with the international reach and capital market expertise of Newmark Knight Frank.

Co-Directed by Paul and Billy Sleeth, our group focuses entirely on retail investments in the greater Pacific Northwest. This product type and geographical focus enables us to provide our clients with superior market insight, which has resulted in over $6 billion of retail investment sales in the past thirty years.

We specialize in a variety of property types including:
High Profile Regional Malls
Grocery/Drug Anchored Shopping Centers
Small Suburban/Urban Strip Centers
Single Tenant Properties

Essential Job Duties:

Build and maintain the Investment Database
Track all retail investment properties for sale
Track all retail investment properties that sell
Track all new retail properties under construction
Track and prepare lease comps
Track and analyze tenant sales and health ratios
Track relevant land comps
Produce Quarterly Retail Report
Research and prepare â€œarea summaryâ€ write-ups and info for marketing materials
Research various special projects as needed
Produce various call lists for Brokers to drive business
Arrange travel for brokers to industry meetings/events
Coordinate and plan client events and parties

Skills, Education and Experience:

A bachelorâ€™s degree in Business Administration, Accounting, or other related field is highly preferred
Proficiency in Microsoft Excel, Word PowerPoint and Outlook is a required
Previous experience in a real estate environment preferred
Excellent written and verbal communication skills
Well organized with a supreme attention to detail
Positive, â€œcan-do,â€ work hard attitude
Ability to multi-task without losing focus
Comfortable interfacing with clientele


Benefits and Perks:
Industry leading Parental Leave Policy (up to 16 weeks)
Generous healthcare
Bright Horizons back-up care program
Generous paid time off
Education reimbursement
Referral Program
Opportunities to network and connect

Benefits/perks listed may vary depending on the nature of your employment with Newmark Knight Frank and the job location.

Working Conditions: Normal working conditions with the absence of disagreeable elements",36,"Seattle, WA"
Research Analyst,D.A. Davidson & Co.,"Invite a friend

Back to job search

Job Description

Provide research support to the Investment Team by conducting research, assist in the portfolio construction and administration of all investment strategies. Assist in marketing and client service. Work with the business unit and Davidson IT to identify and implement workflow solutions to improve efficiency and productivity. Assist with operational and regulatory processes as needed.

Experience and Skills

Qualifications/Requirements:
Minimum of a bachelorâ€™s degree

2 to 5 years of experience working in the financial services industry, preferably in asset management

MBA and/or CFAÂ® designation preferred

Strong organizational skills

Strong analytical skills

Ability to multi-task

Ability to meet tight deadlines consistently

Proficiency in Microsoft Office applications (Excel, Word, PowerPoint)

Duties:
Screen the investible universe to discover companies whose securities may be candidates for inclusion in the strategies.

Conduct financial analysis of companies owned in the strategies as well as companies that are candidates for ownership.

Financial analysis consists of but is not limited to: examination of the companyâ€™s SEC filings, creation of a business and valuation model when appropriate, as well as a projection of the companyâ€™s future prospects.

Communicate with other sources of information outside of the firm to assist in the strategies research. This process may entail travel, face-to-face meetings and/or telephone conversations with sell-side analysts, company management, customers, suppliers, and competitors.

Collaborate with other members of the DIA Investment Team. This collaboration includes sharing insights regarding the economy, the market and all DIA investments. It also includes contribution to the analysis of individual companies currently held and/or under consideration for ownership within DIA.

Attend and participate in daily and weekly Investment Meetings

Assist the marketing team in their efforts to market the strategies and the firm to new and existing clientele. This assistance includes visiting with prospective clients, financial consultants, and participating in the due diligence process of institutional consultants and third party platform managers.

Communicate effectively with all external and internal constituencies in writing and through other mediums as appropriate.

Adhere to Team Agreement, a commitment to the following behaviors:

Curiosity (remaining open to learning)

Accountability (taking 100% responsibility (no more; no less) for results)

Candor (engaging in courageous truth-telling to increase power and speed in decisions)

Awareness (tapping every emotional and intuitional resource for decisions)

Passion (discovering and allowing people to do what they do best)

Appreciation (expressing gratitude and fostering a culture of sincere cooperation)",NA,"Seattle, WA 98104"
Data Analyst Sr,Seattle Childrenâ€™s,"Overview
We are using data and analytics to transform care and cures for kids!


For more than 100 years, Seattle Children's has led the discovery of new cures and delivering the latest treatments available - all as a part of our mission to prevent, treat, and eliminate pediatric disease. We are now taking it to the next level driving unprecedented growth in leveraging data and analytics at scale across the enterprise.

Seattle Children's Enterprise Analytics (SCEA) team is building the analytic platform that is powering this growth. From simplest data mart/analytics to real-time streaming to predictive analytics, we deliver data and analytics to our world-class researchers, clinicians and operations needed to make timely, data-driven decisions - decisions that will transform care and cures for kids worldwide for decades to come.

We're looking for talented data analysts, data scientists, engineers, project managers, to join us on this journey. People with a passion for helping kids and their families lead better, healthier lives.

Desired Skills and Experience


We are looking for someone who will be on the Clinical Analytics team who will provide analytic support for our Patient and Family Experience team. We will be looking for someone who has experience in providing analytics for our internal customers, supporting hospital goals and initiatives, identifying potential areas for improvement, and understanding the analytic challenges that the customer is facing so as to provide maximum value to them. We want someone who can make solid recommendations incorporating best practices for analytic solutions.

We need you to be someone who can apply expert problem-solving and critical thinking in data analytics. Are you the type of data analyst who is passionate about taking the lead in analytic Interpretation, evaluation, and interrelation of complex data, and develop integrated data analyses that can drive towards strategic decision-making, utilization trending, patient outcome analysis, and quality measurement?

If you feel passionate and excited about using data and analytics to transform care and cures for kids, then Seattle Children's Hospital is the place that you can make a difference!

To be successful, you will need to partner with our business partners, product delivery teams, operations teams and infrastructure teams to solve problems, implement next generation solutions and deliver successfully against high operational standards of system availability and reliability. We look for team members who are excellent communicators, self-motivated, flexible, hard working and who like to have
Requirements
Required Education/Experience:
Bachelor's Degree in Health Science, Computer Science, Math, Business or related field, or equivalent combination of education and experience/technical training that demonstrates analytical and technical competencyMinimum five (5) years experience performing progressively more responsible work as a clinical or business data analyst, developer or equivalent in a clinical or financial setting
- Minimum five (5) years of related work in a healthcare environment - Experience with Cerner, Epic or similar software product.


Preferred:
At least six (6) years progressively more complex systems and analysis responsibilitiesAt least three (3) years managing medium to large projects using standard project management skills, tools and methodologiesExperience with clinical, hospital and/or financial applications and/or systemsExperience working with clinicians on pathways, ordersets or similar toolsExperience working with the development life cycleExperience with SQL or other coding languageExperience with R, Tableau, or similar analytic toolsExperience with patient experience surveys and related experience analytics",193,"Seattle, WA"
Procurement Analyst,BOEING,"Seattle,Washington,United States HAABP2
The Boeing Company is looking for a Procurement Analyst in Seattle, WA. Boeing Test and Evaluation Supplier Management has an exciting opportunity that is responsible for supporting the procurement activities for all test &amp; evaluation programs.

Position Responsibilities:

Measures key performance indicators.
Extracts and analyzes data from multiple sources.
Prepares reports. Reviews procurement/planning systems.
Reviews schedules, creates plans and/or policies for execution of procurement activities.
Coordinates schedule changes with procurement for contractual changes to purchase orders and supplier incorporation.
Documents and participates in the implementation of lean improvements.
Communicates project objectives and activities.
Boeing is the world's largest aerospace company and leading manufacturer of commercial airplanes and defense, space and security systems. We are business professionals, engineers and technicians. Skilled business leaders, scientists and thinkers. Bold innovators and dreamers. Join us, and you can build something better for yourself, for our customers and for the world.
Employer will not sponsor applicants for employment visa status.
Basic Qualifications (Required Skills/Experience):
Bachelors degree or higher
Experience using Microsoft Office Products like Outlook, PowerPoint, Excel, Access and Word
Experience working in supply chain
Preferred Qualifications (Desired Skills/Experience):
Experience implementing lean processes
Experience working in a fast paced, quick turn, customer centric environment.
Typical Education/Experience:
Bachelor's degree and typically 3 or more years' related work experience, a Master's degree and typically 1 or more years' related work experience or an equivalent combination of education and experience.
This position is located in Seattle, WA and does not offer relocation assistance. Applicants must reside in area or be willing to relocate at their own expense.
Yes, 10 % of the Time Engineering Test and Tech Individual Contributor No No Standard United States; The Boeing Company",5550,"Seattle, WA"
Lead Business Intelligence Data Analyst,CDK Global,"Accelerate Your Career
Drive global technology

With more than $2 billion in revenues, CDK Global is a leading global provider of integrated information technology and digital marketing solutions to the automotive retail and adjacent industries. Focused on enabling end-to-end automotive commerce, CDK provides solutions to dealers in more than 100 countries around the world, serving approximately 28,000 retail locations and most automotive manufacturers. CDK Global solutions automate and integrate critical processes from pre-sale targeted advertising to the sale, financing, insurance, parts supply, repair and maintenance of vehicles, with an increasing focus on utilizing data analytics and predictive intelligence.

Weâ€™re large enough to make a difference but small enough for your voice to be heard. This means that we are an organization where every person matters. You can make an impact on the success of our business and that of our customers regardless of what career you decide to pursue.

From data scientists to sales and client service experts, weâ€™re hiring to support your growth and ours - Green light your career.
CDK Global is hiring a Lead Business Intelligence Data Analyst!

The Lead Business Intelligence Data Analyst, known in CDK as the BI Analytics Managing Lead, is responsible for managing technical analytics activities related to CDKâ€™s Digital Marketing Services Platform. The Managing Lead will oversee a team of 8-10 Business Intelligence Analysts with the primary role of building the groupâ€™s business intelligence capabilities and increasing client facing value-add outputs without reducing quality or service.

The Ideal Candidate will possess:
 . Extensive experience directly managing a team of Data Analysts
 . Exceptional experience analyzing website and digital marketing performance, integrating multiple quantitative and qualitative data sources, reconciling conflicts, and distinguishing user requests from underlying true needs
 . The ability to define and solve problems by creatively using available data and making reasonable assumptions
 . Client management, and strategic and tactical consultation experience, building actionable, data-driven analytics and optimization solutions across multiple platforms and channels
 . Excellent communication and relationship building skills from stakeholders up to executive level
 . Experience guiding a team of employees to operate and execute on larger goals

Requirements and Skill Sets:
 . 2+ years of people management experience (hands-on, supervisory background)
 . 5+ years of data and analytics experience
 . Prior project management background
 . Understanding of and experience with SQL
 . Experience with other various analytics tools and technologies (i.e. Tableau, Python, etc.)
 . Digital advertising experience a plus
 . Automotive industry experience a plus

CDK Global knows you have passions outside of work. You have family, friends, sporting events, and lots of things going on. Thatâ€™s why we offer a comprehensive benefits package to not only take care of you but your family as well. All of our benefits are effective the first day of employment including 401K matching, paid time off to re-energize, donate your time to volunteer in your community, and tuition reimbursement to name a few.

At CDK, we pride ourselves on having a diverse workforce. We value and celebrate the uniqueness of individuals and the different perspectives they provide. We offer equal opportunity employment regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, or protected veteran status.",230,"Seattle, WA 98104"
